plntid;binary;plntmass;plntradius;period;smaxis;plnttemp;plntage;discmeth;discyear;ra;dec;distsun;strmass;strradius;strmetal;strtemp;strage;inhabitzone
KOI-1843.03;0;0,0014;0,054;0,1768913;0,0048;NA;NA;transit;2012;285,013083333333;40,22075;NA;0,46;0,45;0;3584;NA;FALSE
KOI-1843.01;0;NA;0,114;4,194525;0,039;NA;NA;transit;NA;285,013083333333;40,22075;NA;0,46;0,45;0;3584;NA;FALSE
KOI-1843.02;0;NA;0,071;6,356006;0,052;NA;NA;transit;NA;285,013083333333;40,22075;NA;0,46;0,45;0;3584;NA;FALSE
Kepler-9 b;0;0,141900591;1,011544678;19,22418;0,143;707,2;NA;transit;2010;285,570833333333;38,4;650;1,05;1,23;0,17;5722;NA;FALSE
Kepler-9 c;0;0,0975369917;0,9750926178;39,03106;0,229;557,9;NA;transit;2010;285,570833333333;38,4;650;1,05;1,23;0,17;5722;NA;FALSE
Kepler-9 d;0;0,022;0,147;1,592851;0,0271;1601,5;NA;transit;2010;285,570833333333;38,4;650;1,05;1,23;0,17;5722;NA;FALSE
GJ 160.2 b;0;0,0321;NA;5,2354;0,053;NA;NA;RV;2014;61,6451723333333;-20,8531219722222;43,25;0,69;NA;NA;4347;NA;FALSE
HD 240210 b;0;6,9;NA;501,75;1,33;386,6;NA;RV;2009;347,620833333333;57,0177777777778;143;1,25;NA;-0,18;4290;NA;TRUE
OGLE-05-390L b;0;0,017;NA;3500;2,1;NA;NA;microlensing;2005;268,579166666667;-30,3675;6500;0,22;NA;NA;3840;NA;FALSE
WASP-82 b;0;1,24;1,67;2,705782;0,0447;2190;NA;transit;2013;72,6625;1,88416666666667;200;1,63;2,18;0,12;6490;NA;FALSE
Gliese 1214 b;0;0,0195;0,2525;1,58040417;0,01488;604;NA;transit;2009;258,828916666667;4,96380555555556;14,55;0,176;0,2213;0,1;3250;NA;FALSE
Kepler-153 b;0;NA;0,2661;18,870227;0,148219150764362;NA;NA;transit;2014;282,458333333333;48,2505555555556;626,1;0,82;0,892;NA;5404;NA;FALSE
Kepler-153 c;0;NA;0,23056;46,90232;0,271966735195487;NA;NA;transit;2014;282,458333333333;48,2505555555556;626,1;0,82;0,892;NA;5404;NA;FALSE
HD 4203 b;0;1,82;NA;437,05;1,1735;263,9;NA;RV;2001;11,1708333333333;20,4347222222222;77,82;1,13;1,33;0,453;5702;NA;TRUE
HD 4203 c;0;2,17;NA;6700;6,95;NA;NA;RV;2014;11,1708333333333;20,4347222222222;77,82;1,13;1,33;0,453;5702;NA;FALSE
HD 179079 b;0;0,08;NA;14,476;0,11;925;NA;RV;2009;287,791666666667;-2,63361111111111;63,69;1,087;1,48;0,29;5724;NA;FALSE
HD 187123 b;0;0,5074;NA;3,0965886;0,04213;NA;NA;RV;1998;296,742083333333;34,4194444444444;48,3;1,037;1,143;0,121;5815;NA;FALSE
HD 187123 c;0;1,818;NA;3324;4,417;NA;NA;RV;2007;296,742083333333;34,4194444444444;48,3;1,037;1,143;0,121;5815;NA;FALSE
Kepler-431 b;0;NA;0,0682;6,803;0,0719;NA;NA;transit;2015;281,112333333333;43,2277777777778;NA;1,071;1,092;NA;6004;NA;FALSE
Kepler-431 c;0;NA;0,0596;8,703;0,0847;NA;NA;transit;2015;281,112333333333;43,2277777777778;NA;1,071;1,092;NA;6004;NA;FALSE
Kepler-431 d;0;NA;0,099;11,922;0,1045;NA;NA;transit;2015;281,112333333333;43,2277777777778;NA;1,071;1,092;NA;6004;NA;FALSE
Kepler-131 b;0;0,05074;0,219624;16,092;0,123936001446895;NA;NA;transit;2014;288,529166666667;40,9341666666667;226,3;1,02;1,03;0,12;5685;3,66;FALSE
Kepler-131 c;0;0,025952;0,076549;25,5169;0,168529554287586;NA;NA;transit;2014;288,529166666667;40,9341666666667;226,3;1,02;1,03;0,12;5685;3,66;FALSE
HD 114729 A b;1;0,84;NA;1135;2,08;NA;NA;RV;2002;198,183333333333;-31,8672222222222;35;0,93;1,46;-0,22;NA;6;FALSE
CoRoT-24 b;0;NA;0,33;5,1134;0,056;1070;NA;transit;2014;101,920833333333;-3,71694444444444;600;0,91;0,86;0,3;4950;11;FALSE
CoRoT-24 c;0;0,088;0,44;11,759;0,098;850;NA;transit;2014;101,920833333333;-3,71694444444444;600;0,91;0,86;0,3;4950;11;FALSE
Kepler-211 c;0;NA;0,11756;6,04045;0,0668941776170675;NA;NA;transit;2014;285,4375;43,1666666666667;327,93;0,914;0,816;NA;5123;NA;FALSE
Kepler-211 b;0;NA;0,11482;4,138575;0,0519887461178287;NA;NA;transit;2014;285,4375;43,1666666666667;327,93;0,914;0,816;NA;5123;NA;FALSE
Kepler-294 c;0;NA;0,24696;6,6264;0,0691906099480323;NA;NA;transit;2014;287,391666666667;46,0508333333333;1698,68;0,994;0,976;NA;5913;NA;FALSE
Kepler-294 b;0;NA;0,1613;3,701212;0,0469272064060574;NA;NA;transit;2014;287,391666666667;46,0508333333333;1698,68;0,994;0,976;NA;5913;NA;FALSE
HD 164595 b;0;0,051;NA;40;0,23;NA;NA;RV;2015;270,162059625;29,5719222777778;28,93;0,99;NA;-0,04;5790;NA;FALSE
Kepler-257 c;0;NA;0,49301;6,581484;0,075996950933917;NA;NA;transit;2014;297,3125;46,0172222222222;1167,03;0,74;1,037;NA;5180;NA;FALSE
Kepler-257 b;0;NA;0,23785;2,382667;0,0386031296163318;NA;NA;transit;2014;297,3125;46,0172222222222;1167,03;0,74;1,037;NA;5180;NA;FALSE
Kepler-257 d;0;NA;0,45109;24,664551;0,183356266676899;NA;NA;transit;2014;297,3125;46,0172222222222;1167,03;0,74;1,037;NA;5180;NA;FALSE
Kepler-214 c;0;NA;0,19411;28,7798;0,175448673603505;NA;NA;transit;2014;284,754166666667;44,9505555555556;1070,66;1,15;1,352;NA;6169;NA;FALSE
Kepler-214 b;0;NA;0,23785;15,660544;0,116939923202234;NA;NA;transit;2014;284,754166666667;44,9505555555556;1070,66;1,15;1,352;NA;6169;NA;FALSE
Kepler-130 c;0;NA;0,25608;27,508653;0,176;NA;NA;transit;2014;288,45;40,2344444444444;266,39;0,965;1,127;NA;5884;NA;FALSE
Kepler-130 b;0;NA;0,09295;8,457458;0,08;NA;NA;transit;2014;288,45;40,2344444444444;266,39;0,965;1,127;NA;5884;NA;FALSE
Kepler-130 d;0;NA;0,14945;87,517905;0,381;NA;NA;transit;2014;288,45;40,2344444444444;266,39;0,965;1,127;NA;5884;NA;FALSE
WASP-108 b;0;0,892;1,284;2,6755463;0,0397;1590;NA;transit;2014;195,828041666667;-49,6396666666667;220;1,167;1,215;0,05;6000;6,4;FALSE
Kepler-189 c;0;NA;0,21689;20,134866;0,154518664861609;NA;NA;transit;2014;287,5625;44,3002777777778;650,34;0,824;0,75;NA;5235;NA;FALSE
Kepler-189 b;0;NA;0,11027;10,399931;0,0994722839483129;NA;NA;transit;2014;287,5625;44,3002777777778;650,34;0,824;0,75;NA;5235;NA;FALSE
Kepler-327 b;0;NA;0,10115;2,549575;0,0446656447657692;NA;NA;transit;2014;292,641666666667;44,0836111111111;241,74;0,547;0,492;NA;3799;NA;FALSE
Kepler-327 d;0;NA;0,15766;13,969457;0,138818739426857;NA;NA;transit;2014;292,641666666667;44,0836111111111;241,74;0,547;0,492;NA;3799;NA;FALSE
Kepler-327 c;0;NA;0,09386;5,212333;0,0719476337757664;NA;NA;transit;2014;292,641666666667;44,0836111111111;241,74;0,547;0,492;NA;3799;NA;FALSE
Kepler-101 b;0;0,161;0,515;3,4876812;0,0474;NA;NA;transit;2014;283,2555;48,3552222222222;990,44;1,17;1,56;NA;5667;5,9;FALSE
Kepler-101 c;0;NA;0,112;6,02976;0,0684;NA;NA;transit;2014;283,2555;48,3552222222222;990,44;1,17;1,56;NA;5667;5,9;FALSE
Kepler-156 c;0;NA;0,23238;15,906801;0,137053540044151;NA;NA;transit;2014;290,295833333333;37,7347222222222;482,88;0,737;0,807;NA;5094;NA;FALSE
Kepler-156 b;0;NA;0,2096;4,973456;0,0631355370628551;NA;NA;transit;2014;290,295833333333;37,7347222222222;482,88;0,737;0,807;NA;5094;NA;FALSE
HIP 11952 b;0;2,93;NA;290;0,81;372,6;NA;RV;2012;38,5458333333333;-12,3833333333333;111;0,83;1,6;-1,9;6040;NA;TRUE
HIP 11952 c;0;0,78;NA;6,95;0,07;1263,2;NA;RV;2012;38,5458333333333;-12,3833333333333;111;0,83;1,6;-1,9;6040;NA;FALSE
HD 122430 b;0;3,71;NA;344,95;1,02;868,8;NA;RV;2003;210,591666666667;-27,4177777777778;135;1,68;22,9;-0,09;4300;NA;FALSE
Kepler-344 b;0;NA;0,23785;21,963945;0,157266698785342;NA;NA;transit;2014;292,495833333333;46,3172222222222;1307,52;0,93;0,976;NA;5774;NA;FALSE
Kepler-344 c;0;NA;0,26883;125,596809;0,502900741403154;NA;NA;transit;2014;292,495833333333;46,3172222222222;1307,52;0,93;0,976;NA;5774;NA;FALSE
Kepler-227 b;0;NA;0,28342;9,488015;0,0901941744188423;NA;NA;transit;2014;291,933333333333;48,1338888888889;1481,07;0,92;1,091;NA;5854;NA;FALSE
Kepler-227 c;0;NA;0,27704;54,418694;0,288997213843216;NA;NA;transit;2014;291,933333333333;48,1338888888889;1481,07;0,92;1,091;NA;5854;NA;FALSE
Kepler-404 b;0;NA;0,11574;11,829851;0,104294913246819;NA;NA;transit;2014;286,395833333333;45,3341666666667;1059,76;0,925;0,884;NA;5654;NA;FALSE
Kepler-404 c;0;NA;0,15674;14,751166;0,120826216852257;NA;NA;transit;2014;286,395833333333;45,3341666666667;1059,76;0,925;0,884;NA;5654;NA;FALSE
Gliese 86 b;1;4,01;NA;15,766;0,11;657,6;NA;RV;2000;32,5583333333333;-50,8333333333333;10,9;0,8;0,855;-0,24;5188;2,5;FALSE
HD 145377 b;0;5,76;NA;103,95;0,45;421,8;NA;RV;2008;242,9;-27,0677777777778;57,7;1,12;1,14;0,12;6046;NA;FALSE
HD 75289 A b;1;0,42;NA;3,5098;0,046;NA;NA;RV;1999;131,916666666667;-41,7336111111111;28,94;1,05;1,25;0,29;NA;NA;FALSE
HD 5608 b;0;3;NA;792,6;1,9;NA;NA;RV;2012;14,5592455416667;33,9508845277778;58;1,55;5,5;NA;4854;NA;TRUE
HD 68988 b;0;1,9;NA;6,276;0,071;1017,7;NA;RV;2001;124,591666666667;61,4508333333333;58;1,2;1,14;0,24;5767;NA;FALSE
HD 183263 b;0;3,635;NA;625,1;1,486;NA;NA;RV;2004;292,1025;8,35777777777778;55,1;1,121;1,117;0,302;5936;NA;TRUE
HD 183263 c;0;6,9;NA;4684;5,69;NA;NA;RV;2008;292,1025;8,35777777777778;55,1;1,121;1,117;0,302;5936;NA;FALSE
HD 154672 b;0;5,02;NA;163,91;0,6;357,1;NA;RV;2008;257,520833333333;-56,4347222222222;65,8;1,06;1,27;0,26;5714;NA;FALSE
Kepler-196 b;0;NA;0,17315;20,739886;0,147750320499938;NA;NA;transit;2014;284,966666666667;42,0677777777778;470,92;NA;0,782;NA;5128;NA;FALSE
Kepler-196 c;0;NA;0,20413;47,427737;0,256455759530051;NA;NA;transit;2014;284,966666666667;42,0677777777778;470,92;NA;0,782;NA;5128;NA;FALSE
beta Ursae Minoris b;0;6,1;NA;522,3;1,4;NA;NA;RV;2014;222,675;74,1505555555556;38,7;1,4;38,3;-0,27;4126;2,95;TRUE
Kepler-225 c;0;NA;0,16768;18,794234;0,138358955536565;NA;NA;transit;2014;292,191666666667;47,4505555555556;342,18;NA;0,48;NA;3682;NA;FALSE
Kepler-225 b;0;NA;0,10936;6,738975;0,0698318292437096;NA;NA;transit;2014;292,191666666667;47,4505555555556;342,18;NA;0,48;NA;3682;NA;FALSE
Kepler-409 b;0;NA;0,108445;68,9584;0,338417669266573;NA;NA;transit;2014;293,679166666667;46,85;69,2;0,92;0,89;0,08;5460;6,8;FALSE
OGLE-TR-10 b;0;0,68;1,72;3,10129;0,04516;1702;NA;transit;2004;267,866666666667;-29,8675;1500;1,277;1,52;0,28;6075;NA;FALSE
Kepler-128 b;0;0,09406;0,10298;15,09;0,113428379519543;NA;NA;transit;2013;282,4922;43,9801777777778;368,14;1,17;1,55;NA;6090;4,2;FALSE
Kepler-128 c;0;0,10318;0,10298;22,804;0,149372135294471;NA;NA;transit;2013;282,4922;43,9801777777778;368,14;1,17;1,55;NA;6090;4,2;FALSE
WASP-11 b;1;0,46;1,045;3,722469;0,0439;943,2;NA;transit;2008;47,3708333333333;30,6672222222222;121,7;0,82;0,81;0,13;4974;NA;FALSE
EPIC 206011691 b;0;NA;1,59;9,32414;0,0731;NA;NA;transit;2015;340,303708333333;-14,4889722222222;65;0,64;0,6;-0,11;4043;NA;FALSE
EPIC 206011691 c;0;NA;1,92;15,5012;0,1026;NA;NA;transit;2015;340,303708333333;-14,4889722222222;65;0,64;0,6;-0,11;4043;NA;FALSE
WASP-62 b;0;0,57;1,39;4,411953;0,0567;1305,2;NA;transit;2011;87,1399583333333;-63,9884166666667;160;1,25;1,28;0,04;6230;NA;FALSE
Kepler-150 c;0;NA;0,33627;7,381998;0,0749634488688246;NA;NA;transit;2014;288,233333333333;40,5169444444444;973,33;0,97;0,939;NA;5560;NA;FALSE
Kepler-150 d;0;NA;0,25425;12,56093;0,10684350842219;NA;NA;transit;2014;288,233333333333;40,5169444444444;973,33;0,97;0,939;NA;5560;NA;FALSE
Kepler-150 e;0;NA;0,28433;30,826557;0,194394343884346;NA;NA;transit;2014;288,233333333333;40,5169444444444;973,33;0,97;0,939;NA;5560;NA;FALSE
Kepler-150 b;0;NA;0,11391;3,428054;0,0449536934736898;NA;NA;transit;2014;288,233333333333;40,5169444444444;973,33;0,97;0,939;NA;5560;NA;FALSE
WASP-14 b;1;7,341;1,281;2,2437661;0,036;1718,8;NA;transit;2008;218,275;21,8844444444444;160;1,211;1,306;NA;6462;NA;FALSE
HD 2952 b;0;1,6;NA;311,6;1,2;NA;NA;RV;2013;8,29166666666667;54,8844444444444;115;2,5;12,02;0;4844;NA;FALSE
BD20 2457 b;0;21,42;NA;379,63;1,45;986,8;NA;RV;2009;154,1875;19,8838888888889;200;2,8;NA;-1;4127;NA;FALSE
BD20 2457 c;0;12,47;NA;621,99;2,01;837,6;NA;RV;2009;154,1875;19,8838888888889;200;2,8;NA;-1;4127;NA;FALSE
Kepler-173 c;0;NA;0,22145;8,005777;0,0768229934625612;NA;NA;transit;2014;294,645833333333;41,8833333333333;809,64;1,06;0,949;NA;6031;NA;FALSE
Kepler-173 b;0;NA;0,11756;4,263742;0,0504757574731353;NA;NA;transit;2014;294,645833333333;41,8833333333333;809,64;1,06;0,949;NA;6031;NA;FALSE
KOI-1299 b;1;4,87;1,12;52,50097;0,3034;NA;NA;transit;2014;293,282208333333;48,2858888888889;870;1,353;4,16;-0,07;4850;3,5;FALSE
KOI-1299 c;1;2,43;NA;406,2;0,970625139620144;NA;NA;RV;2014;293,282208333333;48,2858888888889;870;1,353;4,16;-0,07;4850;3,5;FALSE
Kepler-34 (AB) b;1;0,22;0,764;288,822;1,0896;NA;NA;transit;2012;296,4375;44,6341666666667;1500;NA;NA;NA;NA;NA;FALSE
Rho Coronae Borealis b;0;169,7;NA;39,8449;0,24;NA;NA;RV;1997;240,261091666667;33,3035083333333;17,24;1;NA;NA;5823;NA;FALSE
Kepler-260 b;0;NA;0,18317;8,187399;0,0823519692849937;NA;NA;transit;2014;291,925;38,0013888888889;539,35;0,9;0,862;NA;5250;NA;FALSE
Kepler-260 c;0;NA;0,15857;76,050178;0,36389563134379;NA;NA;transit;2014;291,925;38,0013888888889;539,35;0,9;0,862;NA;5250;NA;FALSE
KELT-10 b;0;0,679;1,399;4,166286;0,0525;1377;NA;transit;2015;284,5483375;-47,0032444444444;183;1,112;1,209;0,09;5948;NA;FALSE
Gliese 3634 b;0;0,022;NA;2,64561;0,0287;565,4;NA;RV;2011;164,645833333333;-31,1341666666667;19,8;0,45;0,43;NA;3314;NA;FALSE
HD 156279 b;0;9,71;NA;131,05;0,495;327,8;NA;RV;2011;258,095833333333;63,35;36,6;0,93;NA;0,14;5453;NA;FALSE
Kepler-247 c;0;NA;0,37272;9,439452;0,0952567029074035;NA;NA;transit;2014;288,641666666667;43,0338888888889;695,58;0,773;0,768;NA;5100;NA;FALSE
Kepler-247 d;0;NA;0,35905;20,477912;0,159632557633886;NA;NA;transit;2014;288,641666666667;43,0338888888889;695,58;0,773;0,768;NA;5100;NA;FALSE
Kepler-247 b;0;NA;0,14945;3,33616;0,0476170264034438;NA;NA;transit;2014;288,641666666667;43,0338888888889;695,58;0,773;0,768;NA;5100;NA;FALSE
Kepler-166 b;0;NA;0,20687;7,650254;0,0793314026540689;NA;NA;transit;2014;293,158333333333;48,8680555555556;639,62;0,879;0,742;NA;5413;NA;FALSE
Kepler-166 c;0;NA;0,21689;34,260281;0,21553700499386;NA;NA;transit;2014;293,158333333333;48,8680555555556;639,62;0,879;0,742;NA;5413;NA;FALSE
Kepler-8 b;0;0,603;1,419;3,52254;0,0483;1519,5;NA;transit;2010;281,2875;42,45;1330;1,213;1,486;-0,055;6213;NA;FALSE
HAT-P-56 b;0;2,18;1,466;2,7908327;0,0423;1840;NA;transit;2015;100,848039583333;27,2522828333333;310,5;1,296;1,428;NA;6566;2,01;FALSE
Kepler-266 b;0;NA;0,226;6,61833;0,0676687018720522;NA;NA;transit;2014;294,483333333333;44,1666666666667;1577,36;1,06;1,028;NA;5885;NA;FALSE
Kepler-266 c;0;NA;0,3545;107,723601;0,434606424281817;NA;NA;transit;2014;294,483333333333;44,1666666666667;1577,36;1,06;1,028;NA;5885;NA;FALSE
HD 12661 b;0;2,3;NA;263,6;0,83;291,4;NA;RV;2000;31,1416666666667;25,4013888888889;37,16;1,07;1,12;0,29;5742;NA;TRUE
HD 12661 c;0;1,57;NA;1708;2,56;167,5;NA;RV;2002;31,1416666666667;25,4013888888889;37,16;1,07;1,12;0,29;5742;NA;FALSE
Kepler-213 b;0;NA;0,14763;2,46236;0,035981169974154;NA;NA;transit;2014;290,820833333333;44,6344444444444;702,35;0,976;1,195;NA;5696;NA;FALSE
Kepler-213 c;0;NA;0,21324;4,822962;0,0563270243951867;NA;NA;transit;2014;290,820833333333;44,6344444444444;702,35;0,976;1,195;NA;5696;NA;FALSE
HD 128311 b;0;1,83;NA;460,1;1,24226876292593;177,7;NA;RV;2002;219;9,73444444444444;16,6;0,828;0,73;0,08;4965;NA;TRUE
HD 128311 c;0;3,2;NA;910,7;1,95838301482615;140,7;NA;RV;2005;219;9,73444444444444;16,6;0,828;0,73;0,08;4965;NA;FALSE
WASP-49 b;0;0,378;1,115;2,7817387;0,0379;1369;NA;transit;2011;91,0875;-16,9513888888889;170;0,938;0,976;-0,23;5600;NA;FALSE
Kepler-44 b;0;1,02;1,24;3,2467293;0,0446;NA;NA;transit;2011;300,104166666667;45,7511111111111;2250;1,12;1,35;0,15;5800;5,8;FALSE
Kepler-242 b;0;NA;0,23785;8,20395;0,0888304835319069;NA;NA;transit;2014;286,5625;41,8008333333333;859,95;0,72;0,85;NA;5020;NA;FALSE
Kepler-242 c;0;NA;0,18226;14,496481;0,129833993832694;NA;NA;transit;2014;286,5625;41,8008333333333;859,95;0,72;0,85;NA;5020;NA;FALSE
Kepler-170 b;0;NA;0,29162;7,930592;0,0756574965712632;NA;NA;transit;2014;284,520833333333;41,6177777777778;849,82;1,089;1,035;NA;5679;NA;FALSE
Kepler-170 c;0;NA;0,26063;16,665863;0,124127145076022;NA;NA;transit;2014;284,520833333333;41,6177777777778;849,82;1,089;1,035;NA;5679;NA;FALSE
HD 175167 b;0;7,8;NA;1290;2,4;154;NA;RV;2010;285,004166666667;-69,9341666666667;67,02;1,102;NA;0,19;5940;NA;FALSE
Kepler-94 b;0;0,034099;0,319867;2,50806;0,0387603595168001;NA;NA;transit;2014;281,195833333333;47,4844444444444;223;0,81;0,76;0,34;4781;1,41;FALSE
Kepler-94 c;0;9,83346;NA;820,3;1,83997104946272;NA;NA;RV;2014;281,195833333333;47,4844444444444;223;0,81;0,76;0,34;4781;1,41;FALSE
HD 202206 b;0;17,4;NA;255,87;0,83;277,6;NA;RV;2002;318,7375;-20,7838888888889;46,34;1,13;1,02;0,37;5750;NA;FALSE
HD 202206 c;0;2,44;NA;1383,4;2,55;159,6;NA;RV;2004;318,7375;-20,7838888888889;46,34;1,13;1,02;0,37;5750;NA;FALSE
EPIC 201828749 b;1;NA;0,353;33,51569;0,1875;613;NA;transit;2015;175,654341666667;5,89432222222222;146;0,74;0,71;-0,69;5552;NA;FALSE
HD 131664 b;0;85,2;NA;1951;3,17;NA;NA;RV;NA;225,025333333333;-73,5353333333333;55,43;1,1;1,16;0,32;5886;2,4;FALSE
CoRoT-21 b;0;2,26;1,3;2,72474;0,0417;1867;NA;transit;2011;101,052666666667;-0,299166666666667;NA;1,29;1,945;NA;6200;NA;FALSE
KIC 6185331 b;0;NA;0,72;49,76971;0,2672;NA;NA;transit;2011;284,275;41,5333333333333;NA;1,027;1,27;0,11;NA;NA;FALSE
Kepler-395 c;0;NA;0,12029;34,989262;0,256026508985988;NA;NA;transit;2014;293,508333333333;45,1336111111111;537,21;0,547;0,556;NA;4262;NA;TRUE
Kepler-395 b;0;NA;0,09386;7,054346;0,0880304491265057;NA;NA;transit;2014;293,508333333333;45,1336111111111;537,21;0,547;0,556;NA;4262;NA;FALSE
EPIC 201855371 b;0;NA;0,205;17,96753;0,119;487;NA;transit;2015;178,329775;6,41226111111111;134;0,71;0,66;0,15;4320;NA;FALSE
HD 66428 b;0;3,194;NA;2293;3,471;NA;NA;RV;2006;120,869583333333;-1,1625;54,9;1,061;0,98;0,31;5752;NA;FALSE
WASP-33 b;0;4,59;1,438;1,21986967;0,02558;2451,5;NA;transit;2010;36,7125;37,55;116;1,495;1,444;0,1;7400;NA;FALSE
Gliese 3293 b;0;0,076;NA;30,6;0,1434;NA;NA;RV;2014;67,1488333333333;-25,1691388888889;18,2;0,42;0,404;0,02;3466;NA;TRUE
Gliese 3293 d;0;0,07;NA;123,98;0,3644;NA;NA;RV;2014;67,1488333333333;-25,1691388888889;18,2;0,42;0,404;0,02;3466;NA;TRUE
Gliese 3293 c;0;0,027;NA;48,14;0,1939;NA;NA;RV;2014;67,1488333333333;-25,1691388888889;18,2;0,42;0,404;0,02;3466;NA;TRUE
Kepler-91 b;0;0,66;1,4;6,24668005;0,0726;NA;NA;transit;2013;285,670833333333;44,1166666666667;1030;1,31;6,3;0,11;4550;NA;FALSE
HD 27631 b;0;1,45;NA;2208;3,25;137,7;NA;RV;2011;64,9375;-41,9508333333333;45,5;0,94;1;-0,12;5737;4,4;FALSE
CHXR 73 b;0;12;NA;NA;NA;NA;NA;imaging;2006;166,620833333333;-77,6175;NA;0,35;NA;NA;3840;NA;FALSE
EPIC 201403446 b;1;NA;0,188;19,15344;0,1408;889;NA;transit;2015;174,266345833333;-0,907261111111111;362;1,01;1,12;-0,5;6445;NA;FALSE
Kepler-277 b;0;0,27619;0,2661;17,324;0,123663248645768;NA;NA;transit;2013;286,579166666667;39,0675;951,43;1,19;1,65;NA;5946;5;FALSE
Kepler-277 c;0;0,20856;0,3062;33,006;0,190051133775498;NA;NA;transit;2013;286,579166666667;39,0675;951,43;1,19;1,65;NA;5946;5;FALSE
KMT-2015-1 b;0;2,2;NA;NA;NA;NA;NA;microlensing;2015;269,662541666667;-28,0316944444444;8200;0,18;NA;NA;NA;NA;FALSE
Kepler-58 b;0;NA;0,25699;10,218558;0,0909716666871572;NA;NA;transit;2014;296,358333333333;39,1013888888889;1302,83;1,04;1,127;NA;6099;NA;FALSE
Kepler-58 c;0;NA;0,24241;54,155743;0,276530318803692;NA;NA;transit;2014;296,358333333333;39,1013888888889;1302,83;1,04;1,127;NA;6099;NA;FALSE
Kepler-58 d;0;NA;0,26792;40,101371;0,226335436796476;NA;NA;transit;2014;296,358333333333;39,1013888888889;1302,83;1,04;1,127;NA;6099;NA;FALSE
Kepler-245 b;0;NA;0,2342;7,49019;0,0815040278497116;NA;NA;transit;2014;291,6375;42,4336111111111;919,92;0,777;0,795;NA;5100;NA;FALSE
Kepler-245 d;0;NA;0,27612;36,277108;0,233313008636562;NA;NA;transit;2014;291,6375;42,4336111111111;919,92;0,777;0,795;NA;5100;NA;FALSE
Kepler-245 c;0;NA;0,19866;17,460812;0,143293604162864;NA;NA;transit;2014;291,6375;42,4336111111111;919,92;0,777;0,795;NA;5100;NA;FALSE
NY Virginis (AB) b;1;2,3;NA;2900;3,3;NA;NA;timing;2011;204,7;-2,01777777777778;613,18;NA;NA;NA;NA;NA;FALSE
HD 219077 b;0;10,39;NA;5501;6,22;124,9;NA;RV;2012;348,529166666667;-62,7;29;1,05;1,91;-0,13;5362;8,9;FALSE
HW Vir (AB) b;1;14,3;NA;4640;4,69;NA;NA;timing;2008;191,084322125;-8,67134272222222;181;NA;NA;NA;NA;NA;FALSE
WASP-13 b;0;0,5;1,407;4,3530135;0,05379;1203,3;NA;transit;2008;140,104166666667;33,8680555555556;155;1,187;1,559;0;5989;NA;FALSE
HD 215152 b;0;0,0087;NA;7,2825;0,0652;704,7;NA;RV;2011;340,8375;-6,4;21,5;NA;NA;NA;5150;NA;FALSE
HD 215152 c;0;0,0097;NA;10,866;0,0852;615,3;NA;RV;2011;340,8375;-6,4;21,5;NA;NA;NA;5150;NA;FALSE
18 Del b;0;10,3;NA;993,3;2,6;NA;NA;RV;2008;314,608058208333;10,8392858055556;75,3;2,3;8,5;-0,052;4979;NA;FALSE
Kepler-210 c;0;NA;0,436;7,9725;0,03710232851;NA;NA;transit;2014;292,5;43,0680555555556;265,15;0,612;0,65;NA;4559;0,35;FALSE
Kepler-210 b;0;NA;0,3419;2,4532;0,01420769609;NA;NA;transit;2014;292,5;43,0680555555556;265,15;0,612;0,65;NA;4559;0,35;FALSE
HD 210702 b;0;1,97;NA;354,29;1,2;NA;NA;RV;2007;332,963878583333;16,0405528611111;54,9;1,85;4,45;0,12;5010;NA;FALSE
HD 210277 b;0;1,23;NA;442,1;1,1;240,3;NA;RV;1998;332,370833333333;-7,53416666666667;21,29;1,09;1,1;0,19;5532;NA;TRUE
Gliese 15 A b;1;0,016829;NA;11,4433;0,0717;NA;NA;RV;2014;4,5953555;44,0229522777778;3,587;0,375;0,3863;-0,32;3567;NA;FALSE
HD 330075 b;0;0,62;NA;3,38773;0,039;1023,2;NA;RV;2004;237,404166666667;-49,9511111111111;50,2;0,95;NA;0,03;6295;NA;FALSE
HAT-P-55 b;0;0,582;1,182;NA;0,04604;1313;NA;transit;2015;264,273;25,7311944444444;480;1,013;1,011;-0,03;5808;4,2;FALSE
Kepler-45 b;0;0,505;0,96;2,455239;0,027;774;NA;transit;2011;292,875;41,0513888888889;333;0,59;0,55;0,08;3820;13,9;FALSE
WASP-121 b;0;1,183;1,807;1,2749255;0,02544;2358;NA;transit;2015;107,600241666667;-39,097375;270;1,353;1,458;0,13;6459;1,5;FALSE
Kepler-25 b;0;NA;0,2411;6,2385369;0,068;1220,6;NA;transit;2012;286,6375;38,3341666666667;191;1,26;1,34;0,11;6354;2,75;FALSE
Kepler-25 c;0;NA;0,4598;12,7203678;0,11;959,7;NA;transit;2012;286,6375;38,3341666666667;191;1,26;1,34;0,11;6354;2,75;FALSE
Kepler-25 d;0;0,282798;NA;123;0,448198860052961;NA;NA;RV;2014;286,6375;38,3341666666667;191;1,26;1,34;0,11;6354;2,75;FALSE
WASP-70 A b;1;0,59;1,164;3,7130203;0,04853;1387;NA;transit;2011;315,475;-13,4333333333333;245;1,106;1,215;-0,006;5700;9,5;FALSE
