plntid;binary;plntmass;plntradius;period;smaxis;plnttemp;plntage;discmeth;discyear;ra;dec;distsun;strmass;strradius;strmetal;strtemp;strage;inhabitzone
Kepler-265 d;0;NA;0,22691;43,130617;0,229764020565391;NA;NA;transit;2014;290,508333333333;41,2344444444444;1511,13;1,15;1,103;NA;5835;NA;FALSE
HD 104067 b;0;0,186;NA;55,806;0,2643;363,2;NA;RV;2009;179,791666666667;-20,3502777777778;20,8;0,791;NA;-0,06;4969;NA;FALSE
Kepler-186 c;0;NA;0,097509;7,267301;0,052;NA;NA;transit;2014;298,65;43,9502777777778;151;0,478;0,472;-0,28;3788;NA;FALSE
Kepler-186 d;0;NA;0,127582;13,342996;0,0781;NA;NA;transit;2014;298,65;43,9502777777778;151;0,478;0,472;-0,28;3788;NA;FALSE
Kepler-186 b;0;NA;0,097509;3,8867907;0,0343;NA;NA;transit;2014;298,65;43,9502777777778;151;0,478;0,472;-0,28;3788;NA;FALSE
Kepler-186 e;0;NA;0,115735;22,407704;0,11;NA;NA;transit;2014;298,65;43,9502777777778;151;0,478;0,472;-0,28;3788;NA;FALSE
Kepler-186 f;0;NA;0,0990277438268;NA;0,356;NA;NA;transit;2014;298,65;43,9502777777778;151;0,478;0,472;-0,28;3788;NA;TRUE
HD 28185 b;0;5,7;NA;383;1,03;241,6;NA;RV;2001;66,6083333333333;-10,55;39,4;1,24;1,03;0,24;5482;NA;FALSE
HD 108147 b;0;0,261;NA;10,8985;0,102;907,7;NA;RV;2002;186,441666666667;-64,0169444444444;38,57;1,19;1,22;0,18;6067;NA;FALSE
HD 111232 b;0;6,8;NA;1143;1,97;163,3;NA;RV;2004;192,2125;-68,4175;29;0,78;NA;-0,36;5494;NA;FALSE
Kepler-183 c;0;NA;0,20687;11,637071;0,100849770178808;NA;NA;transit;2014;293,529166666667;39,3013888888889;1092,31;0,99;0,958;NA;5888;NA;FALSE
Kepler-183 b;0;NA;0,18773;5,687945;0,0625771887864394;NA;NA;transit;2014;293,529166666667;39,3013888888889;1092,31;0,99;0,958;NA;5888;NA;FALSE
HD 38283 b;0;0,34;NA;363,2;1,02;309,9;NA;RV;2011;84,2583333333333;-73,6847222222222;37,7;1,085;NA;-0,24;5945;NA;TRUE
Kepler-371 b;0;NA;0,17224;34,763278;0,208483330390972;NA;NA;transit;2014;292,325;38,6505555555556;637,54;NA;0,992;NA;5666;NA;FALSE
Kepler-371 c;0;NA;0,16221;67,968015;0,325982219769481;NA;NA;transit;2014;292,325;38,6505555555556;637,54;NA;0,992;NA;5666;NA;FALSE
Kepler-246 b;0;NA;0,21324;4,60182;0,0593649374533367;NA;NA;transit;2014;296,483333333333;42,6511111111111;768,87;0,759;0,831;NA;5206;NA;FALSE
Kepler-246 c;0;NA;0,1367;11,187161;0,107330591289029;NA;NA;transit;2014;296,483333333333;42,6511111111111;768,87;0,759;0,831;NA;5206;NA;FALSE
Kepler-413 b;1;0,210762;0,396143;66,262;0,320504315683164;NA;NA;transit;2014;288,5125;51,1511111111111;NA;NA;NA;NA;NA;NA;FALSE
BD+20 1790 b;0;6,37;NA;7,78287;0,066;NA;NA;RV;2015;110,931633333333;20,4162944444444;25,4;0,63;NA;0,3;4410;NA;FALSE
